Dispositivo;Grupo de dispositivo;Data de início;Duração da condução;Data de parada;Duração da parada;Origem;Destino;Tempo parado com motor ligado;Velocidade máxima;Horas do motor no início da viagem;Horas do motor no final da viagem
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:07:24;16/02/2026;0,006631806;Estrada Sem Nome - Jacareí, SP, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:01:03;8;04:36:00;04:48:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:02:18;16/02/2026;0,056185451;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:07:15;9;04:48:00;04:54:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:10:34;16/02/2026;0,015620023;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:20:12;22;04:54:00;05:30:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:08:27;16/02/2026;0,002314815;Estrada Sem Nome - Jacareí, SP, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:03:20;33;05:30:00;05:41:47
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:00:58;16/02/2026;0,006736111;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:09:13;9;05:41:47;05:50:16
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:07:25;16/02/2026;0,01349537;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:13:01;12;05:50:16;06:08:26
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:02:31;16/02/2026;0,07777875;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:18;9;06:08:26;06:12:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:09:57;16/02/2026;0,004722222;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:06:48;12;06:12:00;06:28:45
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:04:42;16/02/2026;0,006043542;Estrada Sem Nome - Jacareí, SP, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:16;15;06:28:45;06:36:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:10:25;16/02/2026;0,005706019;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:08:13;16;06:36:00;06:54:38
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:03:27;16/02/2026;0,005096053;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:07;7;06:54:38;06:54:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:18:22;16/02/2026;0,011932604;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:21;14;06:54:00;07:12:00
UGM5A66;AMBEV, Vehicle, Diesel;16/02/2026;00:01:08;16/02/2026;0,01849537;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:09:40;5;07:12:00;07:27:32
