Dispositivo;Grupo de dispositivo;Data;Data de extinção do defeito;Usuário que extinguiu o defeito;Descrição;Modo de falha;Fonte;Controlador;Código
UAV2H55;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,56698;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,24247;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,24247;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,33231;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,33232;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,36001;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,36001;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,40345;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,40346;0;0;Glow plug/heater control A;No sub type information;OBD with Source Address Information;OBD Powertrain;P0380
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,40539;0;0;Telematics device fault: Collision data is unavailable for 10 minutes due to excessive logging of Collision events. If this fault occurs three consecutive times then the GO device disables logging any suspected Collisions until the device is reset.;0;Telematics Device;Telematics device;616
UAV9I93;ROTA NO_CDD NATAL, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD NATAL, 80 km/h;46051,41234;0;0;Telematics device fault: Collision data is unavailable for 10 minutes due to excessive logging of Collision events. If this fault occurs three consecutive times then the GO device disables logging any suspected Collisions until the device is reset.;0;Telematics Device;Telematics device;616
